index	cost	
1614	467	
1615	1250	
1616	429	
1617	631	
1618	1384	
1619	674	
1620	777	
1621	127	
1622	322	
1623	1188	
1624	655	
1625	913	
1626	1189	
1627	623	
1628	442	
1629	202	
1630	1185	
1631	715	
1632	892	
1633	502	
1634	646	
1635	533	
1636	712	
1637	611	
1638	893	
1639	406	
1640	817	
1641	331	
1642	891	
1643	601	
1644	349	
1645	1063	
1646	276	
1647	220	
1648	237	
1649	588	
1650	646	
1651	609	
1652	556	
1653	112	
1654	213	
1655	848	
1656	831	
1657	898	
1658	220	
1659	398	
1660	850	
1661	319	
1662	466	
1663	134	
1664	1379	
1665	932	
1666	879	
1667	566	
1668	494	
1669	1223	
1670	1521	
1671	446	
1672	963	
1673	594	
1674	1030	
1675	1415	
1676	570	
1677	570	
1678	313	
1679	538	
1680	226	
1681	636	
1682	617	
1683	738	
1684	1034	
1685	343	
1686	369	
1687	335	
1688	656	
1689	646	
1690	597	
1691	312	
1692	187	
1693	1376	
1694	600	
1695	315	
1696	490	
1697	362	
1698	704	
1699	597	
1700	286	
1701	945	
1702	609	
1703	641	
1704	273	
1705	1248	
1706	604	
1707	1173	
1708	372	
1709	212	
1710	678	
1711	344	
1712	785	
1713	327	
1714	565	
1715	251	
1716	458	
1717	676	
1718	827	
1719	498	
1720	889	
1721	530	
1722	788	
1723	321	
1724	378	
1725	915	
1726	1424	
1727	1177	
1728	526	
1729	129	
1730	658	
1731	894	
1732	1632	
1733	118	
1734	733	
1735	523	
1736	158	
1737	145	
1738	818	
1739	142	
1740	567	
1741	346	
1742	439	
1743	399	
1744	946	
1745	789	
1746	903	
1747	830	
1748	332	
1749	139	
1750	267	
1751	730	
1752	305	
1753	365	
1754	654	
1755	701	
1756	614	
1757	1106	
1758	947	
1759	958	
1760	688	
1761	731	
1762	878	
1763	344	
1764	711	
1765	864	
1766	716	
1767	1149	
1768	1463	
1769	618	
1770	588	
1771	603	
1772	1028	
1773	472	
1774	501	
1775	898	
1776	478	
1777	678	
1778	296	
1779	593	
1780	1060	
1781	762	
1782	437	
1783	1046	
1784	1569	
1785	637	
1786	873	
1787	532	
1788	788	
1789	454	
