cost	probability	
286	0.08891088910889108	
287	0.08977089770897709	
288	0.09066090660906609	
289	0.09175091750917509	
290	0.09243092430924309	
291	0.09335093350933509	
292	0.09423094230942308	
293	0.09500095000950008	
294	0.09602096020960209	
295	0.09686096860968609	
296	0.09774097740977408	
297	0.09868098680986809	
298	0.09968099680996809	
299	0.10064100641006408	
300	0.10141101411014108	
301	0.10223102231022309	
302	0.10309103091030909	
303	0.1040210402104021	
304	0.10513105131051309	
305	0.10620106201062009	
306	0.10712107121071208	
307	0.10812108121081208	
308	0.10908109081090808	
309	0.11023110231102308	
310	0.11123111231112308	
311	0.11211112111121108	
312	0.11312113121131208	
313	0.11410114101141008	
314	0.11507115071150709	
315	0.11610116101161008	
316	0.11703117031170308	
317	0.11798117981179808	
318	0.11918119181191808	
319	0.12009120091200907	
320	0.12110121101211008	
321	0.12208122081220808	
322	0.12320123201232008	
323	0.12424124241242408	
324	0.1251912519125191	
325	0.1262212622126221	
326	0.12725127251272508	
327	0.1282912829128291	
328	0.1293112931129311	
329	0.1302613026130261	
330	0.1311513115131151	
331	0.1322813228132281	
332	0.1331513315133151	
333	0.1342013420134201	
334	0.1349813498134981	
335	0.1360313603136031	
336	0.13699136991369912	
337	0.1379713797137971	
338	0.1388613886138861	
339	0.1399513995139951	
340	0.1411014110141101	
341	0.1422914229142291	
342	0.1433814338143381	
343	0.1442614426144261	
344	0.1455414554145541	
345	0.1465414654146541	
346	0.1476914769147691	
347	0.14898148981489812	
348	0.1500715007150071	
349	0.1512715127151271	
350	0.1522615226152261	
351	0.1531715317153171	
352	0.1544215442154421	
353	0.1554915549155491	
354	0.1566615666156661	
355	0.1576815768157681	
356	0.1587415874158741	
357	0.1600716007160071	
358	0.1612616126161261	
359	0.16270162701627008	
360	0.16373163731637308	
361	0.16492164921649208	
362	0.1659916599165991	
363	0.16689166891668908	
364	0.16799167991679909	
365	0.1689816898168981	
366	0.1701217012170121	
367	0.17099170991709908	
368	0.1720917209172091	
369	0.1731717317173171	
370	0.1742517425174251	
371	0.1752717527175271	
372	0.17647176471764708	
373	0.17761177611776108	
374	0.17888178881788808	
375	0.18010180101801007	
376	0.18112181121811208	
377	0.18228182281822808	
378	0.18361183611836107	
379	0.18470184701847006	
380	0.18590185901859005	
381	0.18719187191871905	
382	0.18851188511885106	
383	0.18963189631896307	
384	0.19092190921909208	
385	0.19190191901919007	
386	0.19319193191931908	
387	0.19436194361943607	
388	0.19556195561955605	
389	0.19672196721967206	
390	0.19804198041980406	
391	0.19912199121991206	
392	0.20023200232002306	
393	0.20138201382013807	
394	0.20267202672026707	
395	0.20365203652036507	
396	0.20485204852048505	
397	0.20615206152061505	
398	0.20749207492074906	
399	0.20878208782087807	
400	0.21012210122101208	
401	0.21101211012110108	
402	0.21226212262122607	
403	0.21343213432134306	
404	0.21477214772147707	
405	0.21598215982159807	
406	0.21720217202172007	
407	0.21849218492184908	
408	0.22002220022200208	
409	0.22108221082210808	
410	0.22237222372223708	
411	0.22365223652236507	
412	0.22481224812248107	
413	0.22606226062260606	
414	0.22717227172271706	
415	0.22837228372283705	
416	0.22959229592295904	
417	0.23090230902309006	
418	0.23212232122321205	
419	0.23323233232332305	
420	0.23449234492344906	
421	0.23562235622356206	
422	0.23656236562365607	
423	0.23797237972379706	
424	0.23906239062390605	
425	0.24016240162401606	
426	0.24123241232412307	
427	0.24228242282422807	
428	0.24364243642436406	
429	0.24496244962449606	
430	0.24601246012460107	
431	0.24721247212472106	
432	0.24830248302483005	
433	0.24939249392493903	
434	0.25065250652506504	
435	0.25192251922519204	
436	0.25308253082530807	
437	0.2542425424254241	
438	0.2553925539255391	
439	0.2566525665256651	
440	0.2580825808258081	
441	0.2591625916259161	
442	0.2603926039260391	
443	0.2615026150261501	
444	0.2627526275262751	
445	0.2640026400264001	
446	0.2654626546265461	
447	0.2666926669266691	
448	0.2681326813268131	
449	0.26938269382693814	
450	0.2708927089270891	
451	0.2721227212272121	
452	0.2733427334273341	
453	0.2745227452274521	
454	0.27580275802758014	
455	0.27708277082770816	
456	0.27803278032780315	
457	0.2792527925279252	
458	0.28048280482804816	
459	0.28175281752817516	
460	0.28307283072830713	
461	0.28435284352843515	
462	0.28562285622856215	
463	0.28671286712867117	
